filename,row href
alcremie-mint-cream-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mint-cream-ribbon.gif
alcremie-mint-cream-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mint-cream-star.gif
alcremie-mintcream-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-berry.gif
alcremie-mintcream-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-clover.gif
alcremie-mintcream-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-flower.gif
alcremie-mintcream-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-love.gif
alcremie-mintcream-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-ribbon.gif
alcremie-mintcream-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream-star.gif
alcremie-mintcream.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-mintcream.gif
alcremie-rainbow-swirl-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-berry.gif
alcremie-rainbow-swirl-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-clover.gif
alcremie-rainbow-swirl-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-flower.gif
alcremie-rainbow-swirl-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-love.gif
alcremie-rainbow-swirl-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-ribbon.gif
alcremie-rainbow-swirl-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbow-swirl-star.gif
alcremie-rainbowswirl-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-berry.gif
alcremie-rainbowswirl-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-clover.gif
alcremie-rainbowswirl-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-flower.gif
alcremie-rainbowswirl-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-love.gif
alcremie-rainbowswirl-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-ribbon.gif
alcremie-rainbowswirl-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl-star.gif
alcremie-rainbowswirl.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rainbowswirl.gif
